timestamp,open,high,low,close,volume
2013-02-20,207.2180,207.2180,203.3000,203.7550,1307207
2013-02-19,204.5450,206.1730,202.7270,205.6910,934698
2013-02-18,204.6910,205.4550,203.6360,203.9450,754441
2013-02-15,204.5450,205.6360,202.3820,204.2640,752059
2013-02-14,208.1820,209.0910,203.6360,204.3360,892573
2013-02-13,206.3640,208.4360,205.5910,207.7360,1030695
2013-02-12,204.8270,206.1820,202.7450,205.2910,1353632
2013-02-11,205.4820,206.3000,203.1640,204.1000,1907538
2013-02-08,209.0910,209.0910,204.5640,205.4730,1276781
2013-02-07,209.6820,212.1360,206.6450,208.2000,1701134
2013-02-06,213.6360,213.6360,209.2000,209.9730,1142190
2013-02-05,212.4910,214.2910,211.2910,212.2730,721309
2013-02-04,215.6000,218.5910,214.0550,214.9180,1955542
2013-02-01,217.2730,218.7550,212.2820,212.9090,1683792
2013-01-31,219.7640,223.8180,215.8000,216.5180,4631165
2013-01-30,219.0910,222.1820,218.9090,220.7730,1251514
2013-01-29,217.2730,223.2730,214.8640,218.3450,3484987
2013-01-28,213.2360,217.2550,213.2360,216.4730,1056264
2013-01-25,212.1820,214.6640,211.6820,213.2270,667200
2013-01-24,214.2000,215.7360,210.8000,211.6090,1016279
2013-01-23,214.1820,216.5270,211.1730,214.6360,1101419
2013-01-22,214.1270,217.1820,211.6360,212.8360,1285564
2013-01-21,214.1820,214.7270,211.8360,213.9090,530030
2013-01-18,212.5270,215.4550,212.0000,213.6730,2101138
